Date,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:50 PM - Gurparsad: Yeh ek ce ke gine chune bachon ka group banaya jaara hai,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:50 PM - Maninder Singh: ❤ajj cse ka hod bhi dekhna ko milanga,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:50 PM - Siddarth Chugh: Hod ne nahi,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:50 PM - Siddarth Chugh: Koi aur sir hain,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:50 PM - Prabhdeep: Bhardwaj sir hai,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:50 PM - Gurparsad: This message was deleted,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:50 PM - +91 76784 94745: Ye grp kyu bnaya h??,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:50 PM - Chanpreet: This message was deleted,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:51 PM - Gurparsad: This message was deleted,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:51 PM - Maninder Singh: 😂😂😂,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:51 PM - Chanpreet: Kr diya😂,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:51 PM - Gurparsad: 😂🤣🤣😂😂,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:51 PM - Maninder Singh: bhai champa ki shadhi h,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:51 PM - Maninder Singh: 🤣🤣,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:51 PM - Siddarth Chugh: Bros Kal sir ke add hone ke baad yeh mat karna plz,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:51 PM - Siddarth Chugh: Acha impression padna chahiye sir pe,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:52 PM - Chanpreet: And u all r invited😂😂😂,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:52 PM - 𝕾𝖀𝕶𝕳𝕰𝕰𝕿  𝕾𝕴𝕹𝕲𝕳: Bc yahan bakchodi na pel,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:52 PM - Rohit: Yaar chup ho jao,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:52 PM - Rohit: Group ban gya ab shaant ho jao,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:52 PM - Rohit: Isliye hi log leave krte h,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:52 PM - Maninder Singh: 😂😂vo kud toh clg m impression de,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:52 PM - Rohit: Han wohi,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:59 PM - Siddarth Chugh added Aarja,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:59 PM - Siddarth Chugh added +91 88097 65191,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:59 PM - Siddarth Chugh added Sampreet,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:59 PM - Aarja left,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:59 PM - Siddarth Chugh added +91 79821 80911,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:59 PM - Siddarth Chugh added +91 96435 96433,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:59 PM - Siddarth Chugh added Harsimar,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:59 PM - Rohit: Leave krne de na siddarth,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:59 PM - Siddarth Chugh added +91 89301 88420,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:59 PM - Siddarth Chugh added +91 83770 40271,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 10:59 PM - Siddarth Chugh added Manpreet,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:00 PM - Siddarth Chugh added Manjot,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:00 PM - Siddarth Chugh added Jaidev GTBIT,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:00 PM - Siddarth Chugh added Japjot,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:00 PM - Siddarth Chugh added Jaspreet(GTBIT),,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:00 PM - Prabhdeep left,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:01 PM - Siddarth Chugh added Navjyot,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:01 PM - Siddarth Chugh added Ravleen,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:01 PM - Siddarth Chugh added Raj,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:01 PM - Siddarth Chugh added Aarja,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:01 PM - Siddarth Chugh: List 2,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:02 PM - Chanpreet: Guys this is a common GRP for all the CSE students,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:02 PM - Chanpreet: So plzz don't leave the grp,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:02 PM - Harjot: 👍,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:03 PM - Siddarth Chugh added Prabhdeep,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:08 PM - Siddarth Chugh: Plz send me the nos of these students:,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhpreet,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandana,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harshpreet,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dipankar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angadjot,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasmine,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:08 PM - Siddarth Chugh: And there are 2 harjots usme se add kiya tha,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:08 PM - Siddarth Chugh: Doosre ka bhi no bhej do,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:09 PM - Aarja: ‎4 contacts.vcf (file attached),,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:09 PM - Chanpreet: 4 contacts.vcf (file attached),,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:10 PM - Pavleen: Prabhpreet.vcf (file attached),,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:10 PM - Siddarth Chugh added +91 97160 59377,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:10 PM - Siddarth Chugh added Dipankar,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017," 11:11 PM - Amit Kamal changed the subject from ""CSE Official"" to ""😇CSE Official😇""",,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:11 PM - Siddarth Chugh added Bandana,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:11 PM - Siddarth Chugh added Harshpreet,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:11 PM - Siddarth Chugh added +91 85272 40726,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:11 PM - Manpreet: Vaise ye kyun banaya hai,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:11 PM - Amit Kamal: Kya sabit krna h bhai?,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:11 PM - 𝕾𝖀𝕶𝕳𝕰𝕰𝕿  𝕾𝕴𝕹𝕲𝕳: Pata chal jaega,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:11 PM - Rohit: Jasmine GTBIT.vcf (file attached),,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:12 PM - Siddarth Chugh added Angad,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:12 PM - Siddarth Chugh: Doosre Jagmeet ka bhi no de do,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:13 PM - 𝕾𝖀𝕶𝕳𝕰𝕰𝕿  𝕾𝕴𝕹𝕲𝕳: Konse wala,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:13 PM - 𝕾𝖀𝕶𝕳𝕰𝕰𝕿  𝕾𝕴𝕹𝕲𝕳: Bhatia??,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:13 PM - Siddarth Chugh: Around 80 Hai abhi 78 hue hai,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:13 PM - Siddarth Chugh: Sorry Harjot,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:14 PM - 𝕾𝖀𝕶𝕳𝕰𝕰𝕿  𝕾𝕴𝕹𝕲𝕳: .,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:14 PM - Siddarth Chugh: Ek Jagmeet ke saath ghoomta Hai and ek Karandeep ke saath,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:14 PM - Siddarth Chugh: Yeh Wala konsa hai,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:14 PM - 𝕾𝖀𝕶𝕳𝕰𝕰𝕿  𝕾𝕴𝕹𝕲𝕳: Yeh dono k sath ghumta hai,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:15 PM - Siddarth Chugh: Ek lamba Wala Hai chashma pehnta hai,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:15 PM - Siddarth Chugh: Ek Bina chashme wala hai,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:15 PM - 𝕾𝖀𝕶𝕳𝕰𝕰𝕿  𝕾𝕴𝕹𝕲𝕳: <Media omitted>,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:16 PM - Siddarth Chugh: Ek yeh hai,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:16 PM - 𝕾𝖀𝕶𝕳𝕰𝕰𝕿  𝕾𝕴𝕹𝕲𝕳: Haan,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:16 PM - 𝕾𝖀𝕶𝕳𝕰𝕰𝕿  𝕾𝕴𝕹𝕲𝕳: Dusra konsa harjot hai??,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:16 PM - Siddarth Chugh: And ek woh Hai Jo Karandeep ke saath ghoomta hai,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:17 PM - Manpreet: 3 contacts.vcf (file attached),,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:17 PM - 𝕾𝖀𝕶𝕳𝕰𝕰𝕿  𝕾𝕴𝕹𝕲𝕳: Bhai vo Jagmeet hai,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:17 PM - Manpreet: Inhe bhi add kr,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:17 PM - Siddarth Chugh added +91 97113 80548,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:17 PM - Aarja: Angad Gtbit.vcf (file attached),,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:18 PM - Siddarth Chugh: Oh yes,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:18 PM - 𝕾𝖀𝕶𝕳𝕰𝕰𝕿  𝕾𝕴𝕹𝕲𝕳: Add kia hua hai.,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:19 PM - Maninder Singh: 🤦🏻‍♂🤦🏻‍♂🤦🏻‍♂,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:25 PM - Navjyot: Bhaiya g ek do bndo ko admin bna do,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:26 PM - Maninder Singh: nhi bnayaga,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:30 PM - Vyom: Mujhe b bnao,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:30 PM - Vyom: M ek bar b ni bna ab tk,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:30 PM - 𝕾𝖀𝕶𝕳𝕰𝕰𝕿  𝕾𝕴𝕹𝕲𝕳: You deleted this message,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:30 PM - Maninder Singh: 😂😂bigboss ki shilpa,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:30 PM - Maninder Singh: 😂😂😂,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:30 PM - 𝕾𝖀𝕶𝕳𝕰𝕰𝕿  𝕾𝕴𝕹𝕲𝕳: You deleted this message,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:30 PM - Manpreet: 😂😂🤦🏻‍♀,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:30 PM - Gurparsad: This message was deleted,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:31 PM - Pavleen: Competition going on😂😂😂😂,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:32 PM - Vyom: 😂😂,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:32 PM - Gurparsad: Big boss ki captaincy ki contendorship ni hai yeh🤣🤣😂🤣🤣🤣🤣😂😂🤣🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂😂,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:33 PM - Manpreet: Iss group ka naam bigg boss discussion kyu nhi rkh dete tum log,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:33 PM - Maninder Singh: manpreet ka msg aa gaya,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:34 PM - Maninder Singh: 🤦🏻‍♂🤦🏻‍♂🤦🏻‍♂,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:34 PM - Manpreet: Kyu kya hua,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:34 PM - Maninder Singh: oyee gutman ko add karo,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:34 PM - Gurparsad: 😂😂🤣🤣,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2017, 11:34 PM - Maninder Singh: gurman,,,,,,,,,,,,,,,,,,,,,,,,,,
